,temporal_frequency,orientation,blank_sweep,start,end
442,4.0,135.0,0.0,98464,98523
443,2.0,180.0,0.0,98554,98614
444,15.0,0.0,0.0,98644,98704
445,2.0,225.0,0.0,98735,98794
446,15.0,315.0,0.0,98825,98885
447,4.0,90.0,0.0,98915,98975
448,2.0,270.0,0.0,99005,99065
449,4.0,135.0,0.0,99096,99155
450,2.0,135.0,0.0,99186,99246
451,1.0,315.0,0.0,99276,99336
452,15.0,0.0,0.0,99367,99426
453,,,1.0,99457,99517
454,2.0,135.0,0.0,99547,99607
455,8.0,90.0,0.0,99638,99697
456,2.0,225.0,0.0,99728,99788
457,15.0,135.0,0.0,99818,99878
458,15.0,315.0,0.0,99909,99968
459,4.0,90.0,0.0,99999,100059
460,8.0,315.0,0.0,100089,100149
461,2.0,90.0,0.0,100179,100239
462,2.0,225.0,0.0,100270,100329
463,,,1.0,100360,100420
464,4.0,135.0,0.0,100450,100510
465,8.0,45.0,0.0,100541,100600
466,8.0,90.0,0.0,100631,100691
467,4.0,225.0,0.0,100721,100781
468,1.0,180.0,0.0,100812,100871
469,8.0,0.0,0.0,100902,100962
470,8.0,180.0,0.0,100992,101052
471,15.0,45.0,0.0,101083,101142
472,15.0,45.0,0.0,101173,101233
473,15.0,270.0,0.0,101263,101323
474,15.0,225.0,0.0,101353,101413
475,8.0,135.0,0.0,101444,101503
476,2.0,270.0,0.0,101534,101594
477,1.0,225.0,0.0,101624,101684
478,8.0,90.0,0.0,101715,101774
479,8.0,270.0,0.0,101805,101865
480,,,1.0,101895,101955
481,15.0,180.0,0.0,101986,102045
482,2.0,180.0,0.0,102076,102136
483,1.0,270.0,0.0,102166,102226
484,4.0,270.0,0.0,102257,102316
485,1.0,0.0,0.0,102347,102407
486,2.0,135.0,0.0,102437,102497
487,4.0,315.0,0.0,102527,102587
488,4.0,270.0,0.0,102618,102677
489,15.0,135.0,0.0,102708,102768
490,8.0,45.0,0.0,102798,102858
491,8.0,45.0,0.0,102889,102948
492,8.0,45.0,0.0,102979,103039
493,4.0,135.0,0.0,103069,103129
494,4.0,315.0,0.0,103160,103219
495,2.0,45.0,0.0,103250,103310
496,4.0,225.0,0.0,103340,103400
497,1.0,180.0,0.0,103431,103490
498,8.0,135.0,0.0,103521,103581
499,1.0,0.0,0.0,103611,103671
500,1.0,315.0,0.0,103701,103761
501,8.0,90.0,0.0,103792,103851
502,8.0,225.0,0.0,103882,103942
503,15.0,90.0,0.0,103972,104032
504,1.0,90.0,0.0,104063,104122
505,2.0,45.0,0.0,104153,104213
506,1.0,45.0,0.0,104243,104303
507,,,1.0,104334,104393
508,4.0,270.0,0.0,104424,104484
509,8.0,270.0,0.0,104514,104574
510,2.0,270.0,0.0,104605,104664
511,,,1.0,104695,104755
512,1.0,135.0,0.0,104785,104845
513,,,1.0,104875,104935
514,15.0,315.0,0.0,104966,105025
515,2.0,90.0,0.0,105056,105116
516,1.0,0.0,0.0,105146,105206
517,1.0,0.0,0.0,105237,105296
518,15.0,180.0,0.0,105327,105387
519,15.0,0.0,0.0,105417,105477
520,2.0,135.0,0.0,105508,105567
521,15.0,90.0,0.0,105598,105658
522,,,1.0,105688,105748
523,1.0,180.0,0.0,105779,105838
524,4.0,180.0,0.0,105869,105929
525,4.0,180.0,0.0,105959,106019
526,2.0,0.0,0.0,106049,106109
527,1.0,135.0,0.0,106140,106199
528,,,1.0,106230,106290
529,1.0,0.0,0.0,106320,106380
530,8.0,315.0,0.0,106411,106470
531,8.0,90.0,0.0,106501,106561
532,2.0,270.0,0.0,106591,106651
533,2.0,270.0,0.0,106682,106741
534,1.0,315.0,0.0,106772,106832
535,4.0,90.0,0.0,106862,106922
536,15.0,180.0,0.0,106953,107012
537,2.0,0.0,0.0,107043,107103
538,,,1.0,107133,107193
539,15.0,90.0,0.0,107223,107283
540,1.0,90.0,0.0,107314,107373
541,4.0,45.0,0.0,107404,107464
542,4.0,0.0,0.0,107494,107554
543,15.0,225.0,0.0,107585,107644
544,1.0,225.0,0.0,107675,107735
545,4.0,180.0,0.0,107765,107825
546,2.0,180.0,0.0,107856,107915
547,2.0,0.0,0.0,107946,108006
548,1.0,180.0,0.0,108036,108096
549,4.0,315.0,0.0,108127,108186
550,2.0,315.0,0.0,108217,108277
551,15.0,180.0,0.0,108307,108367
552,4.0,180.0,0.0,108397,108457
553,4.0,180.0,0.0,108488,108547
554,4.0,90.0,0.0,108578,108638
555,15.0,135.0,0.0,108668,108728
556,1.0,315.0,0.0,108759,108818
557,4.0,90.0,0.0,108849,108909
558,15.0,270.0,0.0,108939,108999
559,1.0,45.0,0.0,109030,109089
560,8.0,0.0,0.0,109120,109180
561,2.0,135.0,0.0,109210,109270
562,,,1.0,109300,109360
563,1.0,225.0,0.0,109391,109451
564,2.0,315.0,0.0,109481,109541
565,1.0,270.0,0.0,109571,109631
566,2.0,180.0,0.0,109662,109721
567,1.0,90.0,0.0,109752,109812
568,8.0,270.0,0.0,109842,109902
569,2.0,180.0,0.0,109933,109992
570,8.0,0.0,0.0,110023,110083
571,8.0,270.0,0.0,110113,110173
572,2.0,90.0,0.0,110204,110263
573,2.0,0.0,0.0,110294,110354
574,4.0,180.0,0.0,110384,110444
575,8.0,90.0,0.0,110474,110534
576,4.0,180.0,0.0,110565,110624
577,15.0,45.0,0.0,110655,110715
578,8.0,90.0,0.0,110745,110805
579,15.0,45.0,0.0,110836,110895
580,1.0,270.0,0.0,110926,110986
581,1.0,270.0,0.0,111016,111076
582,1.0,45.0,0.0,111107,111166
583,4.0,315.0,0.0,111197,111257
584,15.0,315.0,0.0,111287,111347
585,15.0,270.0,0.0,111378,111437
586,8.0,225.0,0.0,111468,111528
587,2.0,45.0,0.0,111558,111618
588,1.0,225.0,0.0,111648,111708
589,4.0,45.0,0.0,111739,111798
590,8.0,45.0,0.0,111829,111889
591,2.0,45.0,0.0,111919,111979
592,1.0,0.0,0.0,112010,112069
593,1.0,225.0,0.0,112100,112160
594,2.0,180.0,0.0,112190,112250
595,2.0,135.0,0.0,112281,112340
596,1.0,0.0,0.0,112371,112431
597,15.0,90.0,0.0,112461,112521
598,15.0,180.0,0.0,112552,112611
599,4.0,90.0,0.0,112642,112702
600,2.0,180.0,0.0,112732,112792
601,15.0,45.0,0.0,112822,112882
602,4.0,0.0,0.0,112913,112972
603,4.0,45.0,0.0,113003,113063
604,2.0,0.0,0.0,113093,113153
605,8.0,0.0,0.0,113184,113243
606,15.0,270.0,0.0,113274,113334
607,8.0,225.0,0.0,113364,113424
608,1.0,225.0,0.0,113455,113514
609,1.0,90.0,0.0,113545,113605
610,15.0,270.0,0.0,113635,113695
611,4.0,270.0,0.0,113726,113785
612,15.0,225.0,0.0,113816,113876
613,2.0,315.0,0.0,113906,113966
614,2.0,180.0,0.0,113996,114056
615,2.0,0.0,0.0,114087,114146
616,15.0,270.0,0.0,114177,114237
617,8.0,135.0,0.0,114267,114327
618,15.0,315.0,0.0,114358,114417
619,1.0,315.0,0.0,114448,114508
620,15.0,45.0,0.0,114538,114598
621,2.0,270.0,0.0,114629,114688
622,4.0,315.0,0.0,114719,114779
623,2.0,135.0,0.0,114809,114869
624,1.0,270.0,0.0,114899,114959
625,4.0,0.0,0.0,114990,115049
626,2.0,225.0,0.0,115080,115140
627,1.0,45.0,0.0,115170,115230
